patents
US5951502A
US6109267A
US6231532B1
US6338723B1
US20050070828A1
US7452340B2
US7871387B2
US8764690B2
US8419665B2
US8535253B2
US20100056973A1
US8162869B2
US8506507B2
US8734369B2
US9033906B2
US9566206B2
US20140052043A1
US9795171B2
US9707132B2
US9782323B2
US9717642B2
US9849039B2
US9283135B2
US10561571B2
US10428447B2
US20150351969A1
US10219971B2
US20170189235A1
US10166164B2
US10076462B2
US20190321252A1
US20190350270A1
US20190015261A1
US20190254906A1
US20190198151A1

US5997465A
US7857777B2
US20150320356A1
US20160193100A1
EP1645255A1
US10285876B2
WO2009114676A1
WO2016073777A1
CA2751794A1
EP2306958B1
WO2017120387A1
US7354411
US7354410
US7857777
US7935066
US8128584
US8162869
US8517963
US8734369
US8753300
US8764689
US9174042
US9248074
US9433711
US9539166
US20030139255A1
US20050090772A1
US20130345610A1
US20140236060A1
US20160193100A1
US20160242964A1
US20170079868A1
US20170312165A1
USD608006
US5779659
WO2014205349A1
WO2015168720A1
WO2016073777A1
WO2016166731A1
WO2017037479A1
WO2017195038A1
US7868221
WO2016041054A1

US5310400
US20150073318A1
WO2017115118A1
EP1596794B1
US5179941
US20090062703A1
US6852089
US20120316480A1
WO2004084790A1
US7896825
US7276037B2
US20160186366A1
US20190262188A1
WO2017141055A1
US6290662
